TimePeriod,GeoType,GeoID,GeoRank,Geography,Number (with AC),Percent (with AC),Percent (without AC)
2014,PUMA2010,3806,8,Upper West Side & West Side,"95,000","93.9 (91.4, 96.5)",6.1
2014,PUMA2010,3807,8,"Chelsea, Clinton & Midtown Business District","77,000","94.6 (92.1, 97)",5.4
2014,PUMA2010,3808,8,"Murray Hill, Gramercy & Stuyvesant Town","77,000","95.2 (93.2, 97.1)",4.8
2014,PUMA2010,3809,8,Chinatown & Lower East Side,"61,000","88.9 (85.6, 92.1)",11.1
2014,PUMA2010,3810,8,"Battery Park City, Greenwich Village & Soho","79,000*","96.3* (93.8, 98.8)",3.7
2014,PUMA2010,3901,8,"Tottenville, Great Kills & Annadale","54,000*","99.3* (98.3, 100)",0.7
2014,PUMA2010,3902,8,New Springville & South Beach,"44,000*","96.3* (93.5, 99.1)",3.7
2014,PUMA2010,3903,8,"Port Richmond, Stapleton & Mariner's Harbor","52,000","86.7 (81.9, 91.5)",13.3
2014,PUMA2010,4001,8,Greenpoint & Williamsburg,"50,000","85.8 (80.7, 90.8)",14.2
2014,PUMA2010,4002,8,Bushwick,"32,000","78.6 (71.7, 85.6)",21.4
2014,PUMA2010,4003,8,Bedford-Stuyvesant,"38,000","76.8 (71.6, 82.1)",23.2
2014,PUMA2010,4004,8,Brooklyn Heights & Fort Greene,"44,000","82.9 (77.1, 88.7)",17.1
2014,PUMA2010,4005,8,"Park Slope, Carroll Gardens & Red Hook","42,000","90.7 (86.2, 95.3)",9.3
2014,PUMA2010,4006,8,Crown Heights North & Prospect Heights,"37,000","76.6 (70.5, 82.7)",23.4
2014,PUMA2010,4007,8,Brownsville & Ocean Hill,"28,000","70.8 (63.9, 77.7)",29.2
2014,PUMA2010,4008,8,East New York & Starrett City,"40,000","81.7 (75.5, 87.9)",18.3
2014,PUMA2010,4009,8,Canarsie & Flatlands,"57,000","85.9 (81.4, 90.3)",14.1
2014,PUMA2010,4010,8,"East Flatbush, Farragut & Rugby","37,000","84.4 (79.4, 89.4)",15.6
2014,PUMA2010,4011,8,"Crown Heights South, Prospect Lefferts & Wingate","35,000","81.9 (76.1, 87.7)",18.1
2014,PUMA2010,4012,8,Sunset Park & Windsor Terrace,"36,000","84.7 (79.6, 89.9)",15.3
2014,PUMA2010,4013,8,Bay Ridge & Dyker Heights,"45,000","89.3 (85.8, 92.9)",10.7
2014,PUMA2010,4014,8,"Borough Park, Kensington & Ocean Parkway","42,000","89.4 (85.6, 93.2)",10.6
2014,PUMA2010,4015,8,Flatbush & Midwood,"44,000","81.1 (76.1, 86)",18.9
2014,PUMA2010,4016,8,"Sheepshead Bay, Gerritsen Beach & Homecrest","53,000","93.7 (91.1, 96.4)",6.3
2014,PUMA2010,4017,8,Bensonhurst & Bath Beach,"67,000","93.7 (90.1, 97.2)",6.3
2014,PUMA2010,4018,8,Brighton Beach & Coney Island,"46,000","89.7 (86.2, 93.2)",10.3
2014,PUMA2010,4101,8,Astoria & Long Island City,"70,000","92.7 (89.6, 95.8)",7.3
2014,PUMA2010,4102,8,Jackson Heights & North Corona,"47,000","91.0 (88, 93.9)",9.0
2014,PUMA2010,4103,8,"Flushing, Murray Hill & Whitestone","85,000","92.5 (90, 94.9)",7.5
2014,PUMA2010,4104,8,"Bayside, Douglaston & Little Neck","40,000*","98.6* (97, 100)",1.4
2014,PUMA2010,4105,8,"Queens Village, Cambria Heights & Rosedale","53,000","92.9 (90.3, 95.6)",7.1
2014,PUMA2010,4106,8,"Briarwood, Fresh Meadows & Hillcrest","52,000","94.1 (90.9, 97.3)",5.9
2014,PUMA2010,4107,8,Elmhurst & South Corona,"44,000","92.3 (88.6, 96.1)",7.7
2014,PUMA2010,4108,8,Forest Hills & Rego Park,"48,000*","98.0* (96.2, 99.8)",2.0
2014,PUMA2010,4109,8,Sunnyside & Woodside,"47,000","91.8 (88.7, 94.9)",8.2
2014,PUMA2010,4110,8,"Ridgewood, Glendale & Middle Village","56,000","93.5 (91.1, 95.9)",6.5
2014,PUMA2010,4111,8,Richmond Hill & Woodhaven,"38,000","90.4 (86.4, 94.4)",9.6
2014,PUMA2010,4112,8,"Jamaica, Hollis & St. Albans","61,000","86.7 (82.6, 90.8)",13.3
2014,PUMA2010,4113,8,Howard Beach & Ozone Park,"35,000","92.1 (87.8, 96.3)",7.9
2014,PUMA2010,4114,8,"Far Rockaway, Breezy Point & Broad Channel","33,000","81.6 (75.7, 87.4)",18.4
2014,Borough,1,1,Bronx,"394,000","82.9 (81.4, 84.3)",17.1
2014,Borough,2,1,Brooklyn,"773,000","84.8 (83.7, 86)",15.2
2014,Borough,3,1,Manhattan,"685,000","92.7 (91.7, 93.7)",7.3
2014,Borough,4,1,Queens,"711,000","92.0 (91.1, 92.9)",8.0
2014,Borough,5,1,Staten Island,"151,000","93.7 (91.7, 95.7)",6.3
2014,Citywide,1,0,New York City,"2,714,000","88.7 (88.2, 89.2)",11.3
